expert_label,n_sentences,judge_recall_any,judge_recall_contradicted,mean_p_entail
condition_unsupported,68,0.9558823529411765,0.3382352941176471,0.0539
contradicted_fact,25,0.96,0.6,0.07414000000000001
location_unsupported,40,0.925,0.225,0.150265
medication_unsupported,38,0.9736842105263158,0.3684210526315789,0.09458684210526315
name_unsupported,27,0.8888888888888888,0.18518518518518517,0.08816666666666667
number_unsupported,9,1.0,0.3333333333333333,0.06186666666666666
other_unsupported,6,1.0,0.5,0.12990000000000002
procedure_unsupported,24,1.0,0.4166666666666667,0.0191625
time_unsupported,43,0.9302325581395349,0.4418604651162791,0.09162093023255813
word_unsupported,126,0.9444444444444444,0.29365079365079366,0.0895857142857143
__span_counts__,423,,,
