condition,has_negation,label,count
E0,False,Contradicted,60.0
E0,False,Not-Supported,291.0
E0,False,Supported,85.0
E0,True,Contradicted,30.0
E0,True,Not-Supported,41.0
E0,True,Supported,15.0
E1,False,Contradicted,36.0
E1,False,Not-Supported,260.0
E1,False,Supported,76.0
E1,True,Contradicted,23.0
E1,True,Not-Supported,39.0
E1,True,Supported,13.0
E1b,False,Contradicted,45.0
E1b,False,Not-Supported,266.0
E1b,False,Supported,110.0
E1b,True,Contradicted,32.0
E1b,True,Not-Supported,43.0
E1b,True,Supported,14.0
E2,False,Contradicted,8.0
E2,False,Not-Supported,5.0
E2,False,Supported,149.0
E2,True,Contradicted,14.0
E2,True,Supported,66.0
E3,False,Contradicted,30.0
E3,False,Not-Supported,125.0
E3,False,Supported,77.0
E3,True,Contradicted,18.0
E3,True,Not-Supported,25.0
E3,True,Supported,20.0
E2,,Contradicted_mean_p_entail,0.8823
E2,,Contradicted_mean_p_contra,0.9457
E2,,Contradicted_both_above_0.9,17.0
E2,,Contradicted_with_negation,14.0
E2,,Contradicted_total,22.0
